Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belize,BLZ,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,23.172561,23.58109947,23.90108664,24.1251974,24.64055287,26.02303925,27.5255923,28.38506342,28.86175029,28.92407211,31.0556728,32.62830215,32.22526589,36.9547332,44.97783599,52.56887642,53.17735299,54.36985271,58.36559213,60.45825204,69.49602535,68.07524693,63.32359852,68.22532325,74.66516604,73.31743253,76.39849588,83.71864608,86.83828375,88.61446186,88.76764628,85.94468065,89.37443649,90.85049152,94.11009609,99.83046347,101.7963688,100.2935472,101.8010036,99.52630991,100,99.77739332,101.5250501,98.62074223,100.6607038,103.3588483,107.9882505,113.220573,116.3151871,112.7198486,112.4573134,116.7605484,118.2501484,121.6023545,123.4639086,123.7450397,128.1825102,130.743861,129.2833917,
Bermuda,BMU,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.418170812,6.478439779,6.541704629,6.624836705,6.655380716,6.752624014,6.928773708,7.169918287,7.813892716,8.30468825,8.825352291,9.667839092,10.58877528,11.94543137,13.73532856,14.60848714,15.01513617,16.40690432,17.21391241,18.31824745,20.1233435,23.68706514,26.57892227,29.50190764,32.53958705,35.0171799,37.06048022,39.46502131,41.39605032,43.72942693,46.36787352,49.3496016,50.73824214,53.37475562,54.42066822,56.694616,73.34281984,76.29406445,78.38570529,80.51164282,77.10088348,76.04522113,82.57023726,84.90263177,88.88638497,94.89721445,100,105.8664058,108.0740778,108.4346831,109.5720627,109.5363723,114.8265545,118.5537057,,,,,,
Bolivia,BOL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.35E-05,7.83E-05,8.11E-05,8.17E-05,8.86E-05,9.38E-05,9.69E-05,0.000102947,0.00010767,0.000111675,0.000116097,0.000119045,0.000141637,0.000202462,0.000327069,0.000348967,0.000378975,0.000426501,0.000486653,0.000582997,0.000727333,0.000940974,0.002435286,0.00890381,0.137427064,17.09403352,56.41345466,64.29605022,75.98811448,86.00823243,100,117.6894369,133.22351,141.9591879,153.248072,170.7601673,190.5345464,201.4046233,215.6059255,220.8053948,232.2771357,236.6209337,243.2954387,258.6960184,279.3081668,295.901294,336.3322981,361.1312736,398.620971,388.9747584,423.1170662,484.9021026,519.3314901,550.4674254,561.7492591,535.7930542,528.5337584,560.5702885,577.7027953,
Brazil,BRA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.38E-13,3.12E-13,5.58E-13,9.47E-13,1.84E-12,2.78E-12,3.87E-12,5.01E-12,6.34E-12,7.67E-12,8.98E-12,1.08E-11,1.29E-11,1.58E-11,2.13E-11,2.85E-11,4.20E-11,6.14E-11,8.67E-11,1.36E-10,2.54E-10,5.26E-10,1.08E-09,2.59E-09,8.10E-09,2.69E-08,6.59E-08,2.00E-07,1.51E-06,1.97E-05,0.000551847,0.0028378,0.030312928,0.636980031,15.30561593,29.00375041,34.35719986,37.01267589,38.83531388,41.94621704,44.29774929,47.94128095,52.63862147,60.05594095,64.71151398,69.52037249,74.22987308,79.00956288,85.94545902,92.23106532,100,108.318565,116.9225023,125.6969513,135.560067,145.8169172,157.627943,163.1021092,168.0366536,
Barbados,BRB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,11.72400994,15.16626466,15.62443487,17.14786973,18.29977894,20.5649866,25.2886161,28.37181588,31.1716792,32.93173317,34.64420039,35.86607143,37.46425032,40.21253105,41.32266667,44.10810811,54.16611207,55.91274238,57.30356881,59.96648696,61.804028,63.70064408,65.32453542,65.9218308,71.65840357,74.83878938,73.8379657,75.50938825,76.19230769,77.04622986,81.52998492,86.97388976,89.06971067,96.910791,98.31364496,96.44006695,99.99841722,103.6426224,102.6518815,105.5931437,106.2040785,104.5580263,104.7160627,108.1265576,112.054884,
Brunei Darussalam,BRN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,27.11505936,28.61152968,30.22153673,32.75443377,32.04319439,36.10367265,67.1939775,73.25594603,69.71149859,61.75042084,60.96361453,59.46089737,40.49004816,44.83461442,41.3962151,44.99687857,48.78109976,47.39704297,48.21553082,46.79245448,42.69173853,43.91827112,45.88965507,49.82921468,44.02482195,49.12904945,63.38419156,59.83981219,60.06373846,63.73039609,73.85471175,87.71452266,96.52783359,97.60937747,109.9986722,85.69840738,100,120.1805054,121.6486942,118.2131481,115.8419336,95.60634579,86.8302453,91.13154673,99.53173692,
Bhutan,BTN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,23.30830301,24.32981101,26.14637233,27.8826048,30.68259377,32.61946154,34.80005796,34.94060529,40.07671837,42.28318023,44.6970633,48.61437959,53.13394113,57.48373126,64.87153466,70.09227884,75.73900185,85.19531733,94.14903056,101.1493011,99.99997554,105.3587507,110.3687907,113.7528612,117.9673423,124.9306896,131.7017588,135.5914932,143.0632221,149.8677182,158.6414408,172.1423019,187.9448441,198.9769117,212.7480262,220.3156184,229.9729583,241.7128962,246.0117164,
Botswana,BWA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.984761334,2.023145557,2.050675213,2.074808108,2.127663821,2.209499636,2.33740187,2.514613186,2.569083466,2.609786875,2.76581542,2.89481803,3.206746895,3.524426878,3.975445112,4.630092864,5.154012406,5.408485754,6.08275147,7.412219635,8.167545758,8.16033195,8.461890356,9.201923741,10.62150314,13.0531539,14.88859048,16.77855856,20.58679799,23.39664419,24.87063705,26.15836652,27.89509391,31.53950435,34.52434149,36.99465992,42.9553118,45.09904324,49.59418706,56.65402297,64.68244581,70.05938439,70.891249,73.20165459,80.57949462,93.04651758,100.0000058,104.9276131,109.8900528,116.9917258,127.4273875,145.2138627,145.4952462,148.8549047,166.5743888,169.6815617,189.9639455,194.9199538,196.7284479,
Central African Republic,CAF,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.298689766,7.636985389,8.010338273,8.384779589,9.017157238,9.471544298,9.895434838,9.818802886,11.40673907,10.96727303,11.45980007,12.02571574,12.5842185,12.86100716,13.55305791,16.17235119,20.37661699,22.69394018,24.78822633,27.49674509,32.51912984,37.03042614,44.77505614,49.7463775,50.45247811,67.67956523,65.35880774,63.85336487,65.52891288,67.13843719,68.37153201,68.10500911,70.00013111,67.59701239,84.09918014,92.42329669,89.14869702,89.88273045,89.51047745,93.16672578,101.0920475,101.5226376,99.11464074,100.4392273,95.97994058,100,103.3340459,105.2335651,112.6810189,113.482889,118.2620045,123.0032643,130.6061406,133.8549511,149.7753957,153.8317074,158.4160678,168.6239339,166.5597794,
Canada,CAN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,12.04040905,12.33472807,12.49591469,12.76388106,13.12558172,13.62239382,14.29688674,14.92724815,15.53310348,16.28306697,17.04294991,17.89177114,18.93594581,20.79519141,24.0509177,26.71811913,29.06780791,31.04944031,33.18584452,36.53261761,40.21482302,44.56111008,48.49203615,51.28506341,53.1028453,54.86855905,56.56084736,59.26711054,61.97191933,64.8973021,67.11203779,69.1606388,70.18703898,71.09764057,72.14233316,73.76147871,75.04228546,75.89842643,76.56145501,78.9142803,82.54814232,84.21905453,84.92714863,85.99555555,88.10856852,89.3280679,90.3053239,89.10656556,92.66859933,90.52279051,93.1190695,96.1327584,97.29071186,98.97279793,100.9106222,100,100.7974811,103.3812812,105.3777474,
Central Europe and the Baltics,CEB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,33.56801505,36.63986551,40.23129015,43.50628836,46.52241356,49.84083001,51.20141202,51.33351775,53.18807712,54.24565227,55.7139099,58.86793415,63.19357409,64.68929276,67.12137595,68.64552158,70.7286344,72.28005457,74.29684044,76.86636727,80.40500368,84.75419463,86.55491193,88.56473779,89.61368709,90.27486103,90.42125345,90.04969951,89.94420984,90.04792502,91.39955813,92.33064734,92.09645268,93.13428247,93.45424026,94.09920644,96.07123894,98.3912038,100.3857369,100.7489602,101.0685387,101.4144464,101.2379113,101.2635519,100.6302201,100,99.39528222,98.82471631,99.05270705,
Channel Islands,CHI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49719785,75.33157075,78.26371473,80.84769735,84.39103005,88.0651754,91.40951326,93.69905617,96.77138413,100,,,,,,,,,,,,
Chile,CHL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.84E-05,3.02E-05,3.41E-05,4.91E-05,7.26E-05,0.000100852,0.000129677,0.000162284,0.000216599,0.000303586,0.000426768,0.000502185,0.000942074,0.004849895,0.037761692,0.168870744,0.586502463,1.183407263,1.849483787,2.736823294,3.533722193,3.942533302,4.244387342,5.558605538,6.433392868,9.114953619,11.0705575,13.93212158,16.9578832,19.290615,23.62539696,28.67910144,32.54056378,36.49893453,41.77813492,46.6581211,48.23113515,49.70779491,50.22601732,51.37089051,53.56537234,55.63347846,57.52060665,60.15439329,64.87620159,69.83461744,78.32804834,82.50921429,82.46512215,86.30367979,94.03846909,96.9657991,98.06166867,100,105.9063491,111.1524604,116.120686,121.9213691,124.3827278,
China,CHN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,14.85558139,17.12165084,17.10196695,16.65361996,16.59332745,16.73765303,16.47619903,16.61023246,16.83672556,16.19818791,15.77467488,15.87972434,15.89150481,15.92463304,15.96886142,15.78822563,15.77144492,15.94394853,16.23901205,16.82226896,17.4578476,17.85934581,17.84781658,18.04368929,18.94441114,20.87618087,21.85295059,22.95715317,25.73396955,27.95321541,29.55342232,31.52876882,34.11357537,39.29959096,47.39554621,53.87477289,57.37722356,58.30797417,57.78752339,57.05454087,58.2306982,59.42041833,59.77982312,61.33735127,65.60294806,68.16319481,70.84058433,76.33014861,82.27764261,82.10442028,87.75414439,94.8408149,97.05546238,99.1528495,99.9373399,100,101.0727563,104.9985939,108.0785515,
Cote d'Ivoire,CIV,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.643475295,6.842119423,7.047712783,7.260125007,7.47111716,7.701142981,7.704346904,7.798937165,8.250791985,8.40375489,8.655098451,8.57364585,8.788982947,9.951586884,12.60808054,13.15198729,15.54867042,20.01911402,20.90662233,22.27420753,27.65202027,28.47521847,30.83903679,33.62897719,39.65189199,39.78815852,38.98427664,37.39558675,37.25313723,36.87598404,35.20798241,35.44158359,35.43313534,37.61375933,55.06130384,61.14215853,64.188924,68.16971269,70.65073797,71.20618141,72.80534321,78.19032738,83.40351661,87.40773353,84.88110775,85.98567009,87.48527539,90.05134312,97.70802111,100,105.3864233,107.1099385,110.4891128,114.5887912,119.0684821,122.7669305,121.4550998,119.3391136,119.8531239,
Cameroon,CMR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.077741813,7.436190443,7.667452922,7.64720172,7.985287057,8.20507663,8.220533084,10.16297806,10.74742348,11.31724773,12.20949992,12.62952194,13.63690104,14.52732699,16.07537245,17.03829897,20.39048947,21.59042366,22.32661536,25.19620315,28.78562771,31.31881874,35.22801849,39.72419583,45.10769504,50.15395057,50.24384435,49.04185626,49.44100728,48.54163424,49.33922107,51.09999653,50.44710667,70.52517266,77.30880232,81.16866995,82.03941829,86.62452225,90.35655705,89.34477464,94.00394096,95.3770313,97.13354783,97.32374553,99.25660173,100,103.3586637,104.3485946,111.2489416,113.079189,115.2388068,118.3159509,121.4760517,123.955566,126.5537676,126.780485,128.1682744,130.0683323,132.1485007,
